alias,canonical
Fed,Federal Reserve
the Fed,Federal Reserve
FOMC,Federal Reserve
Musk,Elon Musk
Elon,Elon Musk
Bezos,Jeff Bezos
MacKenzie,MacKenzie Scott
Zuckerberg,Mark Zuckerberg
Zuck,Mark Zuckerberg
Trump,Donald Trump
The Donald,Donald Trump
DJT,Donald Trump
Biden,Joe Biden
POTUS,US President
SCOTUS,Supreme Court
WH,White House
SSA,Social Security Administration
GOP,Republican Party
Dems,Democratic Party
FAANG,Big Tech
Big Tech,Big Tech
JCP,JCPenney
Elvis,Elvis Presley
The Boss,Bruce Springsteen
Pink (singer),Pink
Ali,Muhammad Ali
DoJ,Department of Justice
DOJ,Department of Justice
Dept of Justice,Department of Justice
IRS,Internal Revenue Service
