source_id,kind,market,name,url,host,tier,category,enabled,notes
web:yahoo.com,web,US,yahoo.com,https://news.yahoo.com/rss/,yahoo.com,,,1,
web:cbsnews.com,web,US,cbsnews.com,https://www.cbsnews.com/latest/rss/main,cbsnews.com,,,1,
web:cnn.com,web,US,cnn.com,http://rss.cnn.com/rss/cnn_topstories.rss,cnn.com,,,1,
web:nytimes.com,web,US,nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,nytimes.com,,,1,
web:nbcnews.com,web,US,nbcnews.com,https://feeds.nbcnews.com/nbcnews/public/news,nbcnews.com,,,1,
web:thehill.com,web,US,thehill.com,https://thehill.com/feed/,thehill.com,,,1,
web:spacedaily.com,web,US,spacedaily.com,https://spacedaily.com/feed/,spacedaily.com,,,1,
web:foxnews.com,web,US,foxnews.com,https://moxie.foxnews.com/google-publisher/latest.xml,foxnews.com,,,1,
web:theguardian.com,web,US,theguardian.com,https://www.theguardian.com/us/rss,theguardian.com,,,1,
web:parade.com,web,US,parade.com,https://parade.com/feed,parade.com,,,1,
web:fortune.com,web,US,fortune.com,https://fortune.com/feed/,fortune.com,,,1,
web:cnbc.com,web,US,cnbc.com,https://www.cnbc.com/id/100003114/device/rss/rss.html,cnbc.com,,,1,
web:npr.org,web,US,npr.org,https://feeds.npr.org/1001/rss.xml,npr.org,,,1,
web:the-sun.com,web,US,the-sun.com,https://www.the-sun.com/feed/,the-sun.com,,,1,
web:thestreet.com,web,US,thestreet.com,https://www.thestreet.com/.rss/full/,thestreet.com,,,1,
web:marijuanamoment.net,web,US,marijuanamoment.net,https://www.marijuanamoment.net/feed/,marijuanamoment.net,,,1,
web:newsweek.com,web,US,newsweek.com,https://www.newsweek.com/rss,newsweek.com,,,1,
web:newatlas.com,web,US,newatlas.com,https://newatlas.com/index.rss,newatlas.com,,,1,
web:nypost.com,web,US,nypost.com,https://nypost.com/feed/,nypost.com,,,1,
web:abc7.com,web,US,abc7.com,https://abc7.com/feed/,abc7.com,,,1,
web:space.com,web,US,space.com,https://www.space.com/feeds.xml,space.com,,,1,
web:politico.com,web,US,politico.com,https://rss.politico.com/politics-news.xml,politico.com,,,1,
web:sciencedaily.com,web,US,sciencedaily.com,https://www.sciencedaily.com/rss/all.xml,sciencedaily.com,,,1,
web:brobible.com,web,US,brobible.com,https://brobible.com/feed/,brobible.com,,,1,
