source_id,kind,market,name,url,host,tier,category,enabled,notes
yt:UCinjnmQEwCddOudyCC1v7qA,youtube,US,KTLA 5,https://www.youtube.com/feeds/videos.xml?channel_id=UCinjnmQEwCddOudyCC1v7qA,youtube.com,B,Local TV,1,
yt:UCAeWdyKJXGWmVAXFpgLNNTg,youtube,US,CBS Evening News,https://www.youtube.com/feeds/videos.xml?channel_id=UCAeWdyKJXGWmVAXFpgLNNTg,youtube.com,A,National,1,
yt:UCKgAB8lqTbqbwXC-e6_9lhQ,youtube,US,KGW News,https://www.youtube.com/feeds/videos.xml?channel_id=UCKgAB8lqTbqbwXC-e6_9lhQ,youtube.com,B,Local TV,1,
yt:UCP6HGa63sBC7-KHtkme-p-g,youtube,US,USA TODAY,https://www.youtube.com/feeds/videos.xml?channel_id=UCP6HGa63sBC7-KHtkme-p-g,youtube.com,A,National,1,
yt:UCCjsvWYJ00k9T6C20iBH2-g,youtube,US,ABC4 Utah,https://www.youtube.com/feeds/videos.xml?channel_id=UCCjsvWYJ00k9T6C20iBH2-g,youtube.com,B,Local TV,1,
yt:UC_-gT7OYiRCK9Sp8SIv9WgQ,youtube,US,CBS Colorado,https://www.youtube.com/feeds/videos.xml?channel_id=UC_-gT7OYiRCK9Sp8SIv9WgQ,youtube.com,B,Local TV,1,
yt:UCaqEHP76q9TblVUO3sHFSQQ,youtube,US,wgaltv,https://www.youtube.com/feeds/videos.xml?channel_id=UCaqEHP76q9TblVUO3sHFSQQ,youtube.com,B,Local TV,1,
yt:UC_xWTNsx7zA2uI0ydQikViA,youtube,US,DawnNews English,https://www.youtube.com/feeds/videos.xml?channel_id=UC_xWTNsx7zA2uI0ydQikViA,youtube.com,A,International,1,
yt:UC16niRr50-MSBwiO3YDb3RA,youtube,US,BBC News,https://www.youtube.com/feeds/videos.xml?channel_id=UC16niRr50-MSBwiO3YDb3RA,youtube.com,A,International,1,
yt:UCWElIIlFx2JiyI9UVrbrEcw,youtube,US,Atlanta News First,https://www.youtube.com/feeds/videos.xml?channel_id=UCWElIIlFx2JiyI9UVrbrEcw,youtube.com,B,Local TV,1,
yt:UC-SJ6nODDmufqBzPBwCvYvQ,youtube,US,CBS Mornings,https://www.youtube.com/feeds/videos.xml?channel_id=UC-SJ6nODDmufqBzPBwCvYvQ,youtube.com,A,National,1,
yt:UCFVUStJ4azXbWMhFO4yTELg,youtube,US,KUTV 2 News Salt Lake City,https://www.youtube.com/feeds/videos.xml?channel_id=UCFVUStJ4azXbWMhFO4yTELg,youtube.com,B,Local TV,1,
yt:UCu7G08TrwPx_0WH4M7OxjIQ,youtube,US,12 News,https://www.youtube.com/feeds/videos.xml?channel_id=UCu7G08TrwPx_0WH4M7OxjIQ,youtube.com,B,Local TV,1,
yt:UCH1oRy1dINbMVp3UFWrKP0w,youtube,US,Good Morning America,https://www.youtube.com/feeds/videos.xml?channel_id=UCH1oRy1dINbMVp3UFWrKP0w,youtube.com,A,National,1,
yt:UCi7Zk9baY1tvdlgxIML8MXg,youtube,US,CTV News,https://www.youtube.com/feeds/videos.xml?channel_id=UCi7Zk9baY1tvdlgxIML8MXg,youtube.com,A,International,1,
yt:UCeY0bbntWzzVIaj2z3QigXg,youtube,US,NBC News,https://www.youtube.com/feeds/videos.xml?channel_id=UCeY0bbntWzzVIaj2z3QigXg,youtube.com,A,National,1,
yt:UCSrZ3UV4jOidv8ppoVuvW9Q,youtube,US,euronews,https://www.youtube.com/feeds/videos.xml?channel_id=UCSrZ3UV4jOidv8ppoVuvW9Q,youtube.com,A,International,1,
yt:UCW3Vc0gEOccJrQC-a25nGdg,youtube,US,WSMV 4 Nashville,https://www.youtube.com/feeds/videos.xml?channel_id=UCW3Vc0gEOccJrQC-a25nGdg,youtube.com,B,Local TV,1,
yt:UC5Ti6pxP1Z-RlBJzXcgOL7A,youtube,US,DOGGY•U,https://www.youtube.com/feeds/videos.xml?channel_id=UC5Ti6pxP1Z-RlBJzXcgOL7A,youtube.com,C,Lifestyle,1,
yt:UCzznO4xSV8BKnUBPyswtCUw,youtube,US,Arirang News,https://www.youtube.com/feeds/videos.xml?channel_id=UCzznO4xSV8BKnUBPyswtCUw,youtube.com,A,International,1,
yt:UCNZyLULUQBp5e9Q1cKtvk6Q,youtube,US,CBS New York,https://www.youtube.com/feeds/videos.xml?channel_id=UCNZyLULUQBp5e9Q1cKtvk6Q,youtube.com,B,Local TV,1,
yt:UCBu0KdNokE4MqdkacvH37_A,youtube,US,WFAA,https://www.youtube.com/feeds/videos.xml?channel_id=UCBu0KdNokE4MqdkacvH37_A,youtube.com,B,Local TV,1,
yt:UCg40OxZ1GYh3u3jBntB6DLg,youtube,US,Forbes Breaking News,https://www.youtube.com/feeds/videos.xml?channel_id=UCg40OxZ1GYh3u3jBntB6DLg,youtube.com,A,Business,1,
yt:UCu0Gn50PSjozOgwgPVTBB4A,youtube,US,WLOS News 13,https://www.youtube.com/feeds/videos.xml?channel_id=UCu0Gn50PSjozOgwgPVTBB4A,youtube.com,B,Local TV,1,
yt:UCMm_V8YjmnZRhToXIqDYDuw,youtube,US,New England Patriots,https://www.youtube.com/feeds/videos.xml?channel_id=UCMm_V8YjmnZRhToXIqDYDuw,youtube.com,C,Lifestyle,1,
yt:UCSWoppsVL0TLxFQ2qP_DLqQ,youtube,US,NBCLA,https://www.youtube.com/feeds/videos.xml?channel_id=UCSWoppsVL0TLxFQ2qP_DLqQ,youtube.com,B,Local TV,1,
